Title,Mean,Median,StDev,Rating,Confidence,Rating,Confidence,Rating,Confidence,Rating,Confidence,Rating,Confidence,Rating,Confidence,Rating,Confidence,Rating,Confidence,
Modelling Microbial Communities with Graph Neural Networks,4.5, 4.5, 1.5, 6, 3, 6, 3, 3, 3, 3, 4
TabR: Tabular Deep Learning Meets Nearest Neighbors in 2023,5.75, 6.0, 1.7853571071357126, 3, 4, 6, 3, 6, 2, 8, 3
Neural Evolutionary Kernel Method: A Knowledge-Based Learning Architechture for Evolutionary PDEs,4.25, 4.0, 1.299038105676658, 3, 3, 3, 4, 5, 4, 6, 2
PINNacle: A Comprehensive Benchmark of Physics-Informed Neural Networks for Solving PDEs,4.5, 5.5, 2.0615528128088303, 6, 3, 1, 5, 6, 3, 5, 3
SaNN: Simple Yet Powerful Simplicial-aware Neural Networks,6.0, 6.5, 2.1213203435596424, 3, 4, 5, 3, 8, 2, 8, 4
FR-NAS: Forward-and-Reverse Graph Predictor for Efficient Neural Architecture Search,4.0, 4.0, 1.0, 5, 4, 5, 4, 3, 5, 3, 5
Boosting of Thoughts: Trial-and-Error Problem Solving with Large Language Models,6.4, 6.0, 1.3564659966250536, 8, 3, 5, 4, 6, 3, 8, 3, 5, 3
Farzi Data: Autoregressive Data Distillation,5.2, 6.0, 1.16619037896906, 3, 4, 5, 2, 6, 3, 6, 4, 6, 3
BATTLE: Towards Behavior-oriented Adversarial Attacks against Deep Reinforcement Learning,4.0, 4.0, 1.0, 5, 4, 3, 4, 3, 3, 5, 4
Understanding Large Language Models Through the Lens of Dataset Generation,5.5, 5.5, 1.8027756377319946, 3, 5, 5, 4, 6, 4, 8, 4
Temporal Parallelization for GPU Acceleration of Spiking Neural Networks,3.0, 3.0, 0.0, 3, 5, 3, 4, 3, 4, 3, 3
FSN: Feature Shift Network for Load-Domain Domain Generalization,3.625, 3.0, 1.1110243021644486, 6, 4, 3, 5, 3, 3, 3, 4, 3, 4, 3, 4, 5, 3, 3, 3
Ask Again Then Fail: Large Language Models’ Vacillations in Judgement,6.0, 6.0, 0.0, 6, 4, 6, 4
Do Current Large Language Models Master Adequate Clinical Knowledge?,4.333333333333333, 5.0, 0.9428090415820634, 3, 2, 5, 4, 5, 4
SIMULTANEOUS GENERATION AND IMPROVEMENT: A UNIFIED RL PARADIGM FOR FJSP OPTIMIZATION,3.0, 3.0, 0.0, 3, 4, 3, 3, 3, 3, 3, 3
Model-Agnostic Shift-Equivariant Downsampling,4.75, 5.0, 1.0897247358851685, 6, 4, 5, 4, 5, 4, 3, 4
Visuo-emotional perception and Human Cognition to engineer content-generation using Generative AI,2.5, 3.0, 0.8660254037844386, 3, 3, 3, 4, 1, 5, 3, 2
Amplifying Training Data Exposure through Fine-Tuning with Pseudo-Labeled Memberships,5.75, 6.0, 0.4330127018922193, 6, 3, 5, 4, 6, 3, 6, 2
FairPATE: Exposing the Pareto Frontier of Fairness Privacy Accuracy and Coverage,3.6666666666666665, 3.0, 0.9428090415820634, 3, 4, 3, 3, 5, 4
